,t,v_ang
0,0.0,0.0177596092224121
1,0.018431901931762695,0.03380152881145476
2,0.05969572067260742,0.06495778560638427
3,0.07989859580993652,0.13266684412956237
4,0.09826874732971191,0.2177320599555969
5,0.11841487884521484,0.3503769516944885
6,0.13889265060424805,0.567806351184845
7,0.15880703926086426,0.8595663785934449
8,0.17846179008483887,1.2264339208602906
9,0.19825291633605957,1.6293249607086182
10,0.21840476989746094,2.169505405426025
11,0.2382657527923584,2.7337203502655028
12,0.2584567070007324,3.335367965698242
13,0.2781999111175537,3.7979946613311766
14,0.2984883785247803,4.263735580444336
15,0.31841039657592773,4.7225926399230955
16,0.338407039642334,4.929585266113281
17,0.35892701148986816,5.131339359283447
18,0.37835192680358887,5.329642581939697
19,0.39843130111694336,5.413044738769531
20,0.41951537132263184,5.550662803649902
21,0.4378669261932373,5.6670153617858885
22,0.458035945892334,5.756526279449463
23,0.47918224334716797,5.849834728240967
24,0.4999210834503174,5.921176719665527
25,0.5195772647857666,5.988722133636474
26,0.5585911273956299,6.060473251342773
27,0.5790560245513916,6.09746150970459
28,0.5980052947998047,6.163767147064209
29,0.6187489032745361,6.158429431915283
30,0.6380438804626465,6.123183536529541
31,0.6598727703094482,6.091482448577881
32,0.6782870292663574,6.13082103729248
33,0.6997215747833252,6.187582302093506
34,0.7188565731048584,6.1976011276245115
35,0.7382936477661133,6.187775897979736
36,0.7584493160247803,6.121698665618896
37,0.7790689468383789,6.092670249938965
38,0.7981619834899902,6.150737571716308
39,0.8191561698913574,6.1588037490844725
40,0.8380420207977295,6.155072021484375
41,0.8595306873321533,6.1379554748535154
42,0.8788201808929443,6.136596965789795
43,0.9000394344329834,6.131626415252685
44,0.9189882278442383,6.162810611724853
45,0.9380619525909424,6.157897281646728
46,0.9585001468658447,6.121159362792969
47,0.9782683849334717,6.1181848526000975
